Present         Present Cont    Past            Past Part      
bottom          bottoming       bottomed        bottomed       
bounce          bouncing        bounced         bounced        
bound           binding         bound           bound          
bow             bowing          bowed           bowed          
bowdlerise      bowdlerising    bowdlerised     bowdlerised    
bowdlerize      bowdlerizing    bowdlerized     bowdlerized    
bowl            bowling         bowled          bowled         
bowlful         None            None            None           
box             boxing          boxed           boxed          
boycott         boycotting      boycotted       boycotted      
braai           None            None            None           
brace           bracing         braced          braced         
braces          bracing         braced          braced         
bracket         bracketing      bracketed       bracketed      
brag            bragging        bragged         bragged        
braid           braiding        braided         braided        
brain           braining        brained         brained        
brainstorm      brainstorming   brainstormed    brainstormed   
brainwash       brainwashing    brainwashed     brainwashed    
braise          braising        braised         braised        
brake           braking         braked          braked         
branch          branching       branched        branched       
brand           branding        branded         branded        
brandish        brandishing     brandished      brandished     
brave           braving         braved          braved         
brawl           brawling        brawled         brawled        
bray            braying         brayed          brayed         
brazen          brazening       brazened        brazened       
breach          breaching       breached        breached       
break           breaking        broke           broken         
breakfast       breakfasting    breakfasted     breakfasted    
breast          breasting       breasted        breasted       
breastfeed      breastfeeding   breastfed       breastfed      
breathalyse     breathalysing   breathalysed    breathalysed   
breathalyze     breathalyzing   breathalyzed    breathalyzed   
breathe         breathing       breathed        breathed       
breed           breeding        bred            bred           
breeze          breezing        breezed         breezed        
brew            brewing         brewed          brewed         
bribe           bribing         bribed          bribed         
brick           bricking        bricked         bricked        
bridge          bridging        bridged         bridged        
bridle          bridling        bridled         bridled        
brief           briefing        briefed         briefed        
brighten        brightening     brightened      brightened     
brim            brimming        brimmed         brimmed        
bring           bringing        brought         brought        
bristle         bristling       bristled        bristled       
broach          broaching       broached        broached       
broadcast       broadcasting    broadcast       broadcast      
broaden         broadening      broadened       broadened      
broadside       broadsiding     broadsided      broadsided     
broil           broiling        broiled         broiled        
broker          brokering       brokered        brokered       
brood           brooding        brooded         brooded        
brook           brooking        brooked         brooked        
browbeat        browbeating     browbeat        browbeaten     
brown           browning        browned         browned        
browse          browsing        browsed         browsed        
bruise          bruising        bruised         bruised        
bruit           bruiting        bruited         bruited        
brush           brushing        brushed         brushed        
brutalise       brutalising     brutalised      brutalised     
brutalize       brutalizing     brutalized      brutalized     
bubble          bubbling        bubbled         bubbled        
buck            bucking         bucked          bucked         
bucket          bucketing       bucketed        bucketed       
bucketful       None            None            None           
buckle          buckling        buckled         buckled        
bud             budding         budded          budded         
buddy           buddying        buddied         buddied        
budge           budging         budged          budged         
budget          budgeting       budgeted        budgeted       
buff            buffing         buffed          buffed         
buffer          buffering       buffered        buffered       
buffet          buffeting       buffeted        buffeted       
bug             bugging         bugged          bugged         
bugger          buggering       buggered        buggered       
build           building        built           built          
bulge           bulging         bulged          bulged         
bulk            bulking         bulked          bulked         
bulldoze        bulldozing      bulldozed       bulldozed      
bullshit        bullshitting    bullshitted     bullshitted    
bully           bullying        bullied         bullied        
bum             bumming         bummed          bummed         
bumble          bumbling        bumbled         bumbled        
bump            bumping         bumped          bumped         
bunch           bunching        bunched         bunched        
bundle          bundling        bundled         bundled        
bung            bunging         bunged          bunged         
bungle          bungling        bungled         bungled        
bunk            bunking         bunked          bunked         
bunker          bunkering       bunkered        bunkered       
bunt            bunting         bunted          bunted         
buoy            buoying         buoyed          buoyed         
burble          burbling        burbled         burbled        
burden          burdening       burdened        burdened       
burgeon         burgeoning      burgeoned       burgeoned      
burglarize      burglarizing    burglarized     burglarized    
burgle          burgling        burgled         burgled        
burn            burning         burned          burnt          
burnish         burnishing      burnished       burnished      
burp            burping         burped          burped         
burrow          burrowing       burrowed        burrowed       
burst           bursting        burst           burst          
bury            burying         buried          buried         
bus             busing          bused           bused          
bushwhack       bushwhacking    bushwhacked     bushwhacked    
busk            busking         busked          busked         
bust            busting         busted          busted         
bustle          bustling        bustled         bustled        
busy            busying         busied          busied         
butcher         butchering      butchered       butchered      
butt            butting         butted          butted         
butter          buttering       buttered        buttered       
button          buttoning       buttoned        buttoned       
buttonhole      buttonholing    buttonholed     buttonholed    
buttress        buttressing     buttressed      buttressed     
buy             buying          bought          bought         
buzz            buzzing         buzzed          buzzed         
buzzing         buzzing         buzzed          buzzed         
